sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
124,Vadodara,390012,2,2,3556,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,2.0,Other,900
125,Vadodara,390012,2,2,4528,Atladra,Flat,Furnished,Ready to Move,Resale,West,12.0,Leasehold,773
126,Vadodara,390012,2,2,3754,Atladra,Flat,Unfurnished,Ready to Move,Resale,West,8.0,Freehold,1465
127,Vadodara,390012,2,2,3571,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,East,9.0,Freehold,700
128,Vadodara,390012,2,2,3819,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,2.0,Freehold,838
129,Vadodara,390012,2,2,2737,Atladra,Flat,Furnished,Ready to Move,Resale,Other,10.0,Other,950
130,Vadodara,390012,2,2,5289,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,813
131,Vadodara,390012,2,2,5206,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,826
132,Vadodara,390012,1,3,2427,Atladra,Flat,Unknown,Ready to Move,Resale,Other,,Other,1566
133,Vadodara,390012,3,3,6131,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
134,Vadodara,390012,3,3,5386,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1114
135,Vadodara,390012,3,3,5333,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,900
136,Vadodara,390012,3,3,8333,Atladra,Villa,Furnished,Ready to Move,Resale,East,,Other,1200
137,Vadodara,390012,2,3,2948,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,East,8.0,Other,1730
138,Vadodara,390012,3,3,4400,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,North,2.0,Freehold,1250
139,Vadodara,390012,3,3,10651,Atladra,House,Unfurnished,Ready to Move,Resale,Other,,Freehold,676
140,Vadodara,390012,2,3,2356,Atladra,Flat,Unfurnished,Ready to Move,Resale,East,3.0,Freehold,1316
141,Vadodara,390012,3,3,2824,Atladra,Flat,Furnished,Ready to Move,Resale,North - East,3.0,Freehold,1700
142,Vadodara,390012,3,3,8383,Atladra,Flat,Furnished,Ready to Move,Resale,East,2.0,Other,1014
143,Vadodara,390012,3,3,4456,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,9.0,Other,1369
144,Vadodara,390012,3,3,4076,Atladra,Flat,Furnished,Unknown,Resale,West,5.0,Other,1840
145,Vadodara,390012,3,3,4222,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,West,4.0,Freehold,900
146,Vadodara,390012,3,3,3103,Atladra,Flat,Furnished,Ready to Move,Resale,Other,4.0,Other,1450
147,Vadodara,390012,3,3,4909,Atladra,House,Furnished,Ready to Move,Resale,North - East,5.0,Freehold,1100
148,Vadodara,390012,3,3,5500,Atladra,Flat,Unfurnished,Ready to Move,Resale,East,4.0,Other,1000
149,Vadodara,390012,3,3,4167,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,West,6.0,Other,1200
150,Vadodara,390012,3,3,5151,Atladra,Flat,Furnished,Ready to Move,Resale,East,6.0,Freehold,1456
151,Vadodara,390012,3,3,3500,Atladra,Flat,Semi-Furnished,Ready to Move,New,Other,5.0,Freehold,1000
152,Vadodara,390012,3,3,4688,Atladra,House,Semi-Furnished,Ready to Move,Resale,North - East,1.0,Freehold,1600
153,Vadodara,390012,2,3,2786,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,2.0,Other,1400
154,Vadodara,390012,2,3,4000,Atladra,Flat,Unfurnished,Ready to Move,Resale,Other,7.0,Other,900
155,Vadodara,390012,2,3,4565,Atladra,Flat,Unfurnished,Ready to Move,Resale,East,5.0,Other,920
156,Vadodara,390012,3,3,3140,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,North,1.0,Freehold,1911
157,Vadodara,390012,3,3,5926,Atladra,House,Unfurnished,Ready to Move,Resale,Other,,Other,1350
158,Vadodara,390012,3,3,3429,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,West,3.0,Freehold,2100
159,Vadodara,390012,3,3,6840,Atladra,House,Unfurnished,Ready to Move,Resale,East,1.0,Other,1250
160,Vadodara,390012,3,3,2971,Atladra,House,Unfurnished,Ready to Move,Resale,Other,5.0,Other,1750
161,Vadodara,390012,3,3,11600,Atladra,House,Furnished,Ready to Move,Resale,East,,Freehold,750
162,Vadodara,390012,3,3,6084,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
163,Vadodara,390012,3,3,6028,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
164,Vadodara,390012,3,3,5505,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1090
165,Vadodara,390012,3,3,6196,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
166,Vadodara,390012,3,3,6224,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
167,Vadodara,390012,3,3,6290,Atladra,Flat,Unfurnished,Unknown,New,Other,,Other,1070
168,Vadodara,390012,4,4,3814,Atladra,Builder Floor,Semi-Furnished,Ready to Move,Resale,West,4.0,Freehold,1180
169,Vadodara,390012,4,4,10479,Atladra,Villa,Furnished,Ready to Move,Resale,West,,Freehold,1336
170,Vadodara,390012,4,4,7115,Atladra,House,Furnished,Ready to Move,Resale,Other,,Other,2600
171,Vadodara,390012,4,4,3000,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,8.0,Other,2250
172,Vadodara,390012,5,4,4269,Atladra,House,Unfurnished,Ready to Move,Resale,Other,8.0,Other,2600
173,Vadodara,390012,4,4,5500,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,East,5.0,Freehold,1400
174,Vadodara,390012,4,4,5111,Atladra,House,Unfurnished,Ready to Move,Resale,East,,Freehold,2250
175,Vadodara,390012,4,4,3111,Atladra,Flat,Semi-Furnished,Ready to Move,Resale,Other,8.0,Other,2250
176,Vadodara,390012,4,4,7222,Atladra,Flat,Furnished,Ready to Move,Resale,West,1.0,Other,1800
177,Vadodara,390012,4,4,3750,Atladra,Villa,Unfurnished,Ready to Move,Resale,North,,Freehold,2000
178,Vadodara,390012,3,4,5556,Atladra,House,Semi-Furnished,Ready to Move,Resale,East,,Freehold,1350
179,Vadodara,390012,6,5,4000,Atladra,House,Furnished,Ready to Move,Resale,East,1.0,Freehold,5000
180,Vadodara,390012,3,5,6197,Atladra,House,Semi-Furnished,Ready to Move,Resale,Other,,Other,1775
181,Vadodara,390022,3,3,9000,Ayodhya Nagar,House,Furnished,Ready to Move,Resale,Other,,Other,1000
182,Vadodara,390022,2,2,6667,Ayodhya Township,House,Semi-Furnished,Ready to Move,Resale,Other,,Other,900
