sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
2065,Vadodara,390009,2,2,3125,Tarsali,Apartment,Semi-Furnished,Unknown,Resale,Unknown,6.0,Unknown,800
2066,Vadodara,390009,4,4,5998,Tarsali,House,Unfurnished,Ready to Move,Resale,West,2.0,Freehold,1017
2067,Vadodara,390009,2,2,6200,Tarsali,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Unknown,2500
2068,Vadodara,390009,2,2,2778,Tarsali,Apartment,Unfurnished,Unknown,Resale,Unknown,4.0,Unknown,900
2069,Vadodara,390009,3,3,2606,Tarsali,Penthouse,Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,1880
2070,Vadodara,390009,2,2,4091,Tarsali,Builder Floor,Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,1100
2071,Vadodara,390009,4,4,5556,Tarsali,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Freehold,3600
2072,Vadodara,390009,3,3,3333,Tarsali,Apartment,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,1200
2073,Vadodara,390009,1,1,3778,Tarsali,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,450
2074,Vadodara,390009,3,3,8000,Tarsali,House,Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,1250
2075,Vadodara,390009,1,1,4384,Tarsali,Builder Floor,Unfurnished,Ready to Move,Resale,Unknown,3.0,Unknown,479
